Model,Split,R2_log,MAE_raw,RMSE_raw
RandomForest,valid,0.8744490643032786,16559.572553965216,26122.824503595537
RandomForest,test,0.8650960179354632,15841.269762603557,26189.97501470643
MLPRegressor,valid,0.8757151023061566,17591.11914538345,27179.344309713288
MLPRegressor,test,0.861637708703572,16792.432596850715,26707.425829270942
RandomForest_TUNED,test,0.865075457364471,15364.487236410081,26303.478846115446
MLPRegressor_TUNED,test,0.8815653866765657,15246.925357680058,23332.127391222126
