feature,importance
BsmtFin Type 1_BLQ,0.0003240276
Land Slope_Mod,0.00032383145
Foundation_Slab,0.00030882476
Bsmt Cond_TA,0.0003064262
Lot Config_FR2,0.000301153
Bldg Type_1Fam,0.0002834109
Lot Config_CulDSac,0.00027968068
BsmtFin Type 2_BLQ,0.00027700095
Fence_infrequent_sklearn,0.0002767359
Neighborhood_Timber,0.00027060253
Heating QC_Fa,0.0002696875
Fireplace Qu_Po,0.00025310673
Exter Cond_Gd,0.00025164473
Heating QC_Gd,0.0002484535
Bsmt Exposure_Av,0.0002448285
BsmtFin Type 2_Rec,0.00024413226
Bsmt Half Bath,0.00022553168
Fence_GdWo,0.00022276808
Heating_GasW,0.00021375317
Garage Cond_TA,0.00021031944
Bldg Type_Twnhs,0.00020208088
Misc Val,0.00019581194
Bldg Type_TwnhsE,0.00019284336
Neighborhood_NridgHt,0.0001915227
Garage Finish_RFn,0.00018881056
3Ssn Porch,0.00018317963
Fence_MnPrv,0.00017279517
Neighborhood_BrDale,0.00016386717
Pool QC_Ex,0.0001589085
Exterior 1st_Stucco,0.00014914875
Pool QC_infrequent_sklearn,0.00014774526
Neighborhood_NoRidge,0.00014525773
Land Slope_infrequent_sklearn,0.00013830236
Garage Qual_TA,0.00011928645
House Style_SFoyer,0.00011244323
BsmtFin Type 2_Unf,0.00010793514
Garage Qual_infrequent_sklearn,0.00010551869
Lot Shape_IR2,9.583478e-05
Neighborhood_MeadowV,9.3814524e-05
Fireplace Qu_Ex,9.342343e-05
Condition 1_RRAn,8.881997e-05
Neighborhood_IDOTRR,8.3835985e-05
Condition 2_infrequent_sklearn,7.8431665e-05
House Style_2Story,7.459822e-05
Garage Type_BuiltIn,7.012162e-05
Exterior 1st_infrequent_sklearn,6.9642e-05
BsmtFin Type 2_GLQ,5.6797948e-05
Low Qual Fin SF,3.926388e-05
House Style_infrequent_sklearn,3.753604e-05
Exterior 2nd_infrequent_sklearn,2.1131464e-05
Foundation_infrequent_sklearn,1.7884535e-05
Bsmt Cond_infrequent_sklearn,1.7544968e-05
Garage Cond_infrequent_sklearn,1.0986697e-05
Utilities_infrequent_sklearn,0.0
Roof Matl_infrequent_sklearn,0.0
Bsmt Qual_infrequent_sklearn,0.0
Electrical_infrequent_sklearn,0.0
Misc Feature_infrequent_sklearn,0.0
Misc Feature_Shed,0.0
