Model,Split,R2_log,MAE_raw,RMSE_raw
RandomForest,valid,0.8744490643032786,16559.572553965216,26122.824503595537
RandomForest,test,0.8650960179354632,15841.269762603557,26189.97501470643
MLPRegressor,valid,0.8811470560282194,16654.41901964222,25444.929968151857
MLPRegressor,test,0.8585255534639514,16533.846141976457,27659.03245058346
RandomForest_TUNED,test,0.865075457364471,15364.487236410081,26303.478846115446
MLPRegressor_TUNED,test,0.86039385781454,16276.818461598696,26596.41987238318
